drug1,drug2,severity,description,alternative,mechanism
Warfarin,Aspirin,severe,Concurrent use significantly increases bleeding risk through complementary anticoagulant mechanisms.,Use Paracetamol for pain relief instead of Aspirin.,Pharmacodynamic synergy — both inhibit clotting cascade
Warfarin,Ibuprofen,severe,NSAIDs potentiate anticoagulant effect of Warfarin and damage gastric mucosa causing serious GI bleeding.,Use Paracetamol. Monitor INR closely if NSAID unavoidable.,CYP2C9 inhibition increases Warfarin plasma levels
Metformin,Alcohol,severe,Combination increases risk of lactic acidosis — rare but potentially fatal metabolic complication.,Avoid alcohol completely while on Metformin.,"Both inhibit hepatic gluconeogenesis, increasing lactate"
Simvastatin,Amiodarone,severe,Amiodarone inhibits CYP3A4 metabolism of Simvastatin causing dangerous accumulation and rhabdomyolysis.,Switch to Rosuvastatin or Pravastatin (less CYP3A4 dependent).,CYP3A4 inhibition by Amiodarone increases statin AUC by 75%
Digoxin,Amiodarone,severe,"Amiodarone increases Digoxin levels by 70–100% risking toxicity: nausea, arrhythmias, visual disturbances.",Reduce Digoxin dose by 50% and monitor serum levels closely.,P-glycoprotein inhibition reduces Digoxin renal clearance
Warfarin,Ciprofloxacin,severe,Ciprofloxacin inhibits Warfarin metabolism dramatically increasing bleeding risk.,Use alternative antibiotic if possible. Monitor INR daily.,CYP1A2 inhibition raises Warfarin (R-enantiomer) levels
Sertraline,Tramadol,severe,Risk of serotonin syndrome — potentially life-threatening. Both increase serotonin activity.,Avoid combination. Use non-serotonergic analgesics like Paracetamol.,Combined serotonergic effect exceeds safe threshold
Fluoxetine,Tramadol,severe,"High risk of serotonin syndrome. Symptoms: agitation, confusion, rapid heart rate, high blood pressure.",Switch to non-SSRI or use different analgesic entirely.,"Fluoxetine also inhibits CYP2D6, impairing Tramadol metabolism"
Methotrexate,Ibuprofen,severe,NSAIDs reduce renal clearance of Methotrexate leading to toxic accumulation.,Avoid all NSAIDs with Methotrexate. Use Paracetamol cautiously.,NSAID-mediated reduction in renal prostaglandins decreases MTX clearance
Carbamazepine,Erythromycin,severe,"Erythromycin inhibits Carbamazepine metabolism causing toxicity: diplopia, ataxia, drowsiness.",Use Azithromycin instead — significantly less CYP3A4 inhibition.,CYP3A4 inhibition raises Carbamazepine levels 2–3 fold
Warfarin,Clarithromycin,severe,Clarithromycin strongly inhibits CYP3A4 and CYP2C9 causing marked rise in Warfarin effect.,"Use Azithromycin. If Clarithromycin necessary, reduce Warfarin dose and monitor INR daily.",Dual CYP inhibition — most dangerous macrolide-Warfarin combination
Metoprolol,Verapamil,severe,Both slow heart rate — combination causes dangerous bradycardia and potential heart block.,Avoid combination. Use Amlodipine (dihydropyridine CCB) instead of Verapamil.,Additive AV node suppression through complementary mechanisms
Aspirin,Ibuprofen,moderate,"Ibuprofen blocks Aspirin binding to COX-1, reducing its antiplatelet effect and cardiovascular protection.",Take Aspirin 2 hours before Ibuprofen or use Paracetamol for pain.,Competitive COX-1 binding — Ibuprofen occupies active site first
Atorvastatin,Amlodipine,moderate,Amlodipine increases Atorvastatin exposure by ~18%. Monitor for muscle pain (myalgia).,Cap Atorvastatin dose at 40mg. Switch to Rosuvastatin if symptoms occur.,Mild CYP3A4 inhibition by Amlodipine
Metformin,Furosemide,moderate,Furosemide may increase Metformin plasma levels. Risk of lactic acidosis in dehydration states.,Monitor renal function and hydration status closely.,Furosemide reduces renal tubular secretion of Metformin
Lisinopril,Spironolactone,moderate,Combination causes dangerous hyperkalemia (high potassium) — can cause fatal arrhythmias.,Monitor serum potassium regularly. Avoid potassium supplements.,Both retain potassium through different mechanisms — additive effect
Diazepam,Omeprazole,moderate,Omeprazole inhibits CYP2C19 slowing Diazepam metabolism and increasing sedation risk.,Reduce Diazepam dose. Consider Pantoprazole as alternative PPI.,CYP2C19 inhibition increases Diazepam half-life significantly
Amlodipine,Simvastatin,moderate,Amlodipine inhibits Simvastatin metabolism increasing myopathy and rhabdomyolysis risk.,Do not exceed 20mg Simvastatin with Amlodipine. Switch to Rosuvastatin.,CYP3A4 inhibition by Amlodipine raises Simvastatin AUC
Prednisolone,Ibuprofen,moderate,Combination greatly increases risk of peptic ulcers and gastrointestinal bleeding.,Add Omeprazole for gastric protection. Use Paracetamol for pain where possible.,Corticosteroids impair mucosal defence; NSAIDs inhibit prostaglandin synthesis
Levothyroxine,Omeprazole,moderate,PPIs raise gastric pH reducing absorption of Levothyroxine and may cause hypothyroidism.,Take Levothyroxine 30–60 min before Omeprazole on empty stomach.,pH-dependent dissolution — Levothyroxine requires acidic environment for absorption
Gabapentin,Morphine,moderate,Additive CNS depression with increased risk of respiratory depression — especially in elderly.,Use lowest effective doses. Monitor respiratory rate and sedation level.,Synergistic CNS depression through different receptor mechanisms
Allopurinol,Amoxicillin,moderate,Combination significantly increases risk of maculopapular skin rash (up to 20% incidence).,Use Cephalexin or Azithromycin instead of Amoxicillin if possible.,Mechanism unclear — possibly immune-mediated hypersensitivity reaction
Furosemide,Digoxin,moderate,Furosemide causes potassium and magnesium loss which sensitises heart to Digoxin toxicity.,Monitor electrolytes regularly. Supplement potassium or add Spironolactone.,Hypokalemia increases binding of Digoxin to myocardial Na/K-ATPase
Omeprazole,Clopidogrel,moderate,Omeprazole inhibits CYP2C19 activation of Clopidogrel reducing its antiplatelet effect by ~40%.,Switch to Pantoprazole or Rabeprazole — less CYP2C19 inhibition.,Clopidogrel is a prodrug requiring CYP2C19 activation to active thiol metabolite
Ciprofloxacin,Metformin,moderate,Ciprofloxacin may cause both hypo and hyperglycaemia unpredictably in diabetic patients.,Monitor blood glucose frequently. Consider alternative antibiotic.,Ciprofloxacin stimulates insulin secretion and reduces hepatic glucose output
Aspirin,Atorvastatin,mild,Minor pharmacokinetic interaction — generally well tolerated at standard doses.,No significant action needed. Routine monitoring.,Minor competition for plasma protein binding
Cetirizine,Diazepam,mild,Additive sedative effect. May cause drowsiness — avoid driving or operating machinery.,Take Cetirizine at night. Warn patient about sedation.,Additive CNS depression through different receptor pathways
Metformin,Amlodipine,mild,Calcium channel blockers may slightly impair insulin secretion and glucose tolerance.,Monitor blood glucose. Usually not clinically significant at standard doses.,CCBs block calcium-dependent insulin secretion from pancreatic beta cells
Paracetamol,Warfarin,mild,High or prolonged doses of Paracetamol (>2g/day) can increase INR slightly.,Limit Paracetamol to 2g/day maximum in patients on Warfarin. Monitor INR weekly.,Paracetamol metabolite inhibits Vitamin K epoxide reductase at high doses
Lisinopril,Ibuprofen,mild,NSAIDs may reduce antihypertensive effect of ACE inhibitors by blocking prostaglandin synthesis.,Monitor blood pressure. Use Paracetamol for pain where possible.,NSAIDs reduce renal prostaglandins that mediate ACE inhibitor vasodilation
